12:40:36.149481 config: drop-rate=0.00, max-delay=0s, seed=1554223236149334000
18:15:29.949342 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.949502 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.949839 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.950001 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.950343 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.950497 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.950835 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.950997 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.951325 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.951491 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.951838 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.952008 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.952371 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.952555 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.952967 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.953162 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.953582 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.953743 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.954140 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.954307 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.954627 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.954785 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.955124 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.955302 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.955647 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.955801 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.956147 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.956316 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.956792 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.956977 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
